bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2653647,1591453321,acbk,Embracing your,1/1/06,1,5/10/10,10/5/14,1590,0,129,3926,2061,0,0,0,0,14,10,1,6,2,2,35,248," Christian experience, practice, life"
2406950,8483103281,acbk,Adi???_????s He,1/2/06,2,3/28/07,11/5/13,450,1,86,3925,3200,0,5,1,1,1,2,1,2,0,2,15,863,Spanish fiction
2347054,1401207642,acbk,Superman chroni,1/4/06,3,4/14/06,12/6/14,100,3,103,3923,3548,44,40,18,12,8,5,12,9,5,6,159,741,Drawing & drawings
2360943,737734701,acbk,Prescription dr,1/6/06,4,8/9/06,9/13/11,215,5,220,3921,3431,2,6,3,1,0,1,0,0,0,0,13,615, Pharmacology and therapeutics
2406647,007146672X,acbk,business coach,1/9/06,5,3/20/07,3/24/14,435,8,78,3918,3208,0,19,12,12,7,4,3,3,2,1,63,658,General management
2333440,786847026,jcbk,High five,1/12/06,6,1/24/06,3/12/13,12,11,23,3915,3628,82,42,24,11,5,2,0,2,0,0,168,813,American fiction in English
2364930,737729309,acbk,death penalty o,1/13/06,7,8/18/06,6/23/12,217,12,229,3914,3422,9,11,14,7,3,2,2,0,0,0,48,364, Criminology
2631921,098209969X,acbk,Karma,1/14/06,8,2/7/10,6/30/14,1485,13,37,3913,2153,0,0,0,0,42,15,5,1,3,0,66,811,American poetry in English
2401898,804836582,jcbk,Japanese celebr,1/15/06,9,3/22/07,1/14/15,431,14,80,3912,3206,0,31,34,29,39,41,36,22,24,14,270,394, General customs
2337193,374399972,acbk,Night,1/16/06,10,2/22/06,1/21/15,37,15,52,3911,3599,342,159,126,131,115,138,103,53,114,101,1382,940,History of Europe
2406664,965860019,acbk,Controlling her,1/17/06,11,10/4/07,7/21/14,625,16,276,3910,3010,0,4,13,4,4,3,5,4,3,0,40,616, Diseases
2380513,1592220851,acbk,gathering of wi,1/18/06,12,10/17/06,1/7/14,272,17,289,3909,3362,12,17,12,12,10,7,2,1,1,2,76,362,Social problems of & services to groups of people
2344118,448437678,jcbk,Karate Katie,1/19/06,13,4/5/06,12/23/09,76,18,94,3908,3557,31,35,26,12,0,0,0,0,0,0,104,811,American poetry in English
2330401,813537266,acbk,Speaking of Ear,1/20/06,14,3/17/06,6/20/12,56,19,75,3907,3576,5,0,0,1,2,0,1,0,0,0,9,333, Economics of land & energy
2403490,1893063151,acbk,Nicky Epsteins,1/21/06,15,4/10/07,4/26/14,444,20,99,3906,3187,0,44,34,25,9,19,8,3,2,2,146,646," Sewing, clothing, management of personal and family life"
2339249,393328317,acbk,Plan B 2 0 resc,1/23/06,16,3/3/06,11/15/13,39,22,61,3904,3590,68,61,31,6,3,3,1,2,0,1,176,333, Economics of land & energy
2398219,785120343,acbk,Spider girl Vol,1/25/06,17,3/1/07,2/14/13,400,24,59,3902,3227,0,89,70,28,8,3,3,1,0,0,202,741,Drawing & drawings
2369807,1405311177,acbk,Complete baby c,1/26/06,18,9/16/06,7/1/14,233,25,258,3901,3393,19,35,35,29,22,13,12,0,2,0,167,649, Child rearing; home care of people with disabilities & illnesses
2412079,1932535063,acbk,Restarting the,1/27/06,19,4/4/07,12/23/13,432,26,93,3900,3193,0,1,0,0,0,0,0,1,0,0,2,811,American poetry in English
2341826,1401907105,acbk,What happens wh,1/30/06,20,4/12/06,4/5/14,72,29,101,3897,3550,16,16,20,16,8,11,7,12,2,0,108,133,Specific topics in parapsychology & occultism
2341468,142405531,jcbk,case of the ten,2/2/06,21,3/19/06,12/31/12,45,32,77,3894,3574,38,24,33,18,6,7,6,0,0,0,132,741,Drawing & drawings
2547644,778801330,acbk,healthy slow co,2/4/06,22,12/12/08,12/26/12,1042,34,346,3892,2575,0,0,5,54,46,36,12,0,0,0,153,641, Food & drink
2345902,1578068258,acbk,Louisiana voyag,2/6/06,23,4/13/06,5/11/11,66,36,102,3890,3549,9,2,2,1,3,1,0,0,0,0,18,818,American miscellaneous writings in English
2344587,757002919,acbk,Mineral miracle,2/8/06,24,4/28/06,6/22/11,79,38,117,3888,3534,14,13,9,9,5,2,0,0,0,0,52,613,Personal health & safety
2340401,742527867,acbk,Gay marriage an,2/9/06,25,5/7/06,2/3/14,87,39,126,3887,3525,11,8,6,3,1,7,2,1,1,0,40,306, Culture & institutions
2352581,1890951633,acbk,Intimate enemy,2/10/06,26,5/21/06,9/28/13,100,40,140,3886,3511,7,6,8,1,3,0,1,1,0,2,29,967, Central Africa & offshore islands
2350067,300113382,acbk,C?????????????z,2/11/06,27,5/9/06,9/11/14,87,41,128,3885,3523,11,10,6,9,5,9,8,3,4,3,68,759," History, geographic treatment, biography"
2321358,520229827,acbk,Music downtown,2/13/06,28,2/27/06,11/4/14,14,43,57,3883,3594,11,3,5,3,3,0,3,0,1,2,31,780,Music
2656090,982588879,acbk,Hood richest,2/14/06,29,5/17/10,10/31/12,1553,44,136,3882,2054,0,0,0,0,29,6,6,0,0,0,41,891,East Indo-European & Celtic literatures
2340554,1401908969,acbk,Left to tell di,2/15/06,30,3/14/06,1/10/15,27,45,72,3881,3579,129,85,82,66,45,32,33,23,26,11,532,282, Roman Catholic Church
2344157,1595140263,acbk,Mischief,2/16/06,31,3/27/06,11/1/09,39,46,85,3880,3566,12,10,14,4,0,0,0,0,0,0,40,811,American poetry in English
2386815,737735511,acbk,Hurricane Katri,2/17/06,32,3/21/07,4/20/14,397,47,79,3879,3207,0,6,6,4,4,3,2,4,1,2,32,363,Other social problems & services
2333336,761139869,acbk,happy hooker st,2/20/06,33,3/24/06,1/10/15,32,50,82,3876,3569,118,106,77,51,60,72,66,47,28,24,649,746, Textile arts
2338574,60728299,jcbk,Spirit Walker,2/21/06,34,3/24/06,11/14/14,31,51,82,3875,3569,65,58,54,68,61,39,34,28,17,9,433,940,History of Europe
2350811,195301374,acbk,Kyoto a cultura,2/23/06,35,5/23/06,1/14/15,89,53,142,3873,3509,7,6,10,2,4,8,8,5,5,4,59,952, Japan
2410208,1591430496,acbk,On the Toltec p,2/24/06,36,4/30/07,10/21/13,430,54,119,3872,3167,0,16,16,21,12,15,9,12,0,0,101,299,Religions not provided for elsewhere
2704768,9681514432,jcbk,Matem???_????ti,3/1/06,37,4/4/11,10/6/14,1860,59,93,3867,1732,0,0,0,0,0,7,3,3,1,1,15,211, Concepts of God
2414726,1841956880,acbk,Cold skin,3/2/06,38,4/9/07,9/30/14,403,60,98,3866,3188,0,34,16,9,7,2,2,6,2,0,78,333, Economics of land & energy
2358632,787983268,jcbk,Dr Arts guide t,3/3/06,39,7/9/06,8/27/14,128,61,189,3865,3462,16,17,16,9,12,9,4,1,2,2,88,500,Natural sciences & mathematics
2365253,1550379402,jcbk,My kind of sad,3/4/06,40,8/2/06,1/27/14,151,62,213,3864,3438,6,5,4,4,6,9,8,4,2,0,48,616, Diseases
2341851,393060845,acbk,American green,3/6/06,41,4/22/06,10/19/10,47,64,111,3862,3540,20,17,7,9,2,0,0,0,0,0,55,635,Garden crops (Horticulture)
2330408,521539285,acbk,Women and depre,3/9/06,42,5/25/06,10/16/14,77,67,144,3859,3507,8,7,6,5,2,4,3,4,2,1,42,616, Diseases
2344728,760324662,acbk,field guide to,3/10/06,43,4/11/06,1/26/13,32,68,100,3858,3551,13,9,11,11,7,4,7,1,0,0,63,387," Water, air, space transportation"
2355594,802118208,acbk,Samuel Beckett,3/13/06,44,6/2/06,1/20/15,81,71,152,3855,3499,21,22,26,21,8,18,7,19,15,9,166,848,French miscellaneous writings
2648184,982588828,acbk,Karma II a nove,3/14/06,45,4/30/10,9/26/12,1508,72,119,3854,2071,0,0,0,0,23,13,4,0,0,0,40,365, Penal & related institutions
2340406,520239822,acbk,This land a gui,3/15/06,46,11/22/06,2/2/11,252,73,325,3853,3326,1,0,0,0,0,1,0,0,0,0,2,333, Economics of land & energy
2672308,1554076579,acbk,Boathouses,3/15/06,47,10/22/10,9/3/14,1682,73,294,3853,1896,0,0,0,0,3,8,1,1,2,1,16,725,Public structures
2357994,1572307293,acbk,emotional survi,3/17/06,48,6/20/06,11/15/14,95,75,170,3851,3481,5,10,9,2,3,7,22,6,6,0,70,649, Child rearing; home care of people with disabilities & illnesses
2347043,756619297,jcbk,X Men School,3/20/06,49,4/14/06,9/6/14,25,78,103,3848,3548,44,55,46,56,42,22,11,12,7,0,295,741,Drawing & drawings
2406758,157110416X,acbk,Naked reading u,3/24/06,50,4/7/07,1/21/15,379,82,96,3844,3190,0,10,8,8,8,7,6,3,0,5,55,28,Reading & use of other information media
2406720,321385446,acbk,InDesign type p,3/26/06,51,4/28/07,1/9/14,398,84,117,3842,3169,0,14,18,17,12,8,5,3,1,1,79,686, Printing & related activities
2354011,785122125,acbk,X Men mutant ge,3/29/06,52,5/22/06,10/30/14,54,87,141,3839,3510,63,37,43,32,10,5,6,5,4,2,207,741,Drawing & drawings
2366786,027598723X,acbk,sound of Stevie,3/30/06,53,8/29/06,3/4/14,152,88,240,3838,3411,3,7,6,4,2,3,2,2,2,2,33,782, Vocal music
2385508,1883536618,jcbk,Fatima the Spin,3/31/06,54,1/16/07,1/13/15,291,89,15,3837,3271,0,22,31,26,23,13,22,23,24,27,211,398, Folklore
2352902,786838868,jcbk,princess and th,4/2/06,55,5/2/06,1/11/15,30,91,121,3835,3530,100,197,199,199,147,137,102,84,54,29,1248,746, Textile arts
2349456,822337509,acbk,After life an e,4/5/06,56,7/2/06,7/20/12,88,94,182,3832,3469,8,2,0,6,0,2,3,0,0,0,21,940,History of Europe
2356098,142406252,acbk,truth about for,4/6/06,57,5/28/06,1/21/15,52,95,147,3831,3504,63,101,125,146,117,106,75,52,44,43,872,200,Religion
2346809,520240413,acbk,wilds,4/10/06,58,5/4/07,8/7/11,389,99,123,3827,3163,0,1,0,0,2,1,0,0,0,0,4,811,American poetry in English
2354013,785120556,acbk,Essential X Men,4/12/06,59,5/20/06,8/17/14,38,101,139,3825,3512,51,44,27,17,3,12,35,23,9,8,229,741,Drawing & drawings
2350116,081652520X,acbk,Bernie Whitebea,4/13/06,60,5/11/06,11/23/14,28,102,130,3824,3521,18,12,10,8,7,4,15,10,9,7,100,796,Athletic & outdoor sports & games
