isbn,publishDate,publishOrder,bib,itemType,checkOutCount,minCheckOut,maxCheckOut,x_adoption,x_age,y_fullFrequency,y_partialFrequency,relative_age
1591453321,1/1/06,1,2653647,acbk,33,5/10/10,10/5/14,1590,3199,1.0316,2.051,0
8483103281,1/2/06,2,2406950,acbk,13,3/28/07,11/5/13,450,2864,0.4539,0.5385,1
1401207642,1/4/06,3,2347054,acbk,153,4/14/06,12/6/14,100,3258,4.6961,4.8448,3
737734701,1/6/06,4,2360943,acbk,13,8/9/06,9/13/11,215,2076,0.6262,0.6985,5
007146672X,1/9/06,5,2406647,acbk,62,3/20/07,3/24/14,435,2996,2.0694,2.4209,8
786847026,1/12/06,6,2333440,jcbk,168,1/24/06,3/12/13,12,2616,6.422,6.4516,11
737729309,1/13/06,7,2364930,acbk,48,8/18/06,6/23/12,217,2353,2.0399,2.2472,12
098209969X,1/14/06,8,2631921,acbk,66,2/7/10,6/30/14,1485,3089,2.1366,4.1147,13
804836582,1/15/06,9,2401898,jcbk,258,3/22/07,1/14/15,431,3286,7.8515,9.0368,14
374399972,1/16/06,10,2337193,acbk,1282,2/22/06,1/21/15,37,3292,38.9429,39.3856,15
965860019,1/17/06,11,2406664,acbk,40,10/4/07,7/21/14,625,3107,1.2874,1.6116,16
1592220851,1/18/06,12,2380513,acbk,74,10/17/06,1/7/14,272,2911,2.5421,2.8041,17
448437678,1/19/06,13,2344118,jcbk,104,4/5/06,12/23/09,76,1434,7.2524,7.6583,18
813537266,1/20/06,14,2330401,acbk,9,3/17/06,6/20/12,56,2343,0.3841,0.3935,19
1893063151,1/21/06,15,2403490,acbk,144,4/10/07,4/26/14,444,3017,4.773,5.5966,20
393328317,1/23/06,16,2339249,acbk,175,3/3/06,11/15/13,39,2853,6.1339,6.2189,22
785120343,1/25/06,17,2398219,acbk,202,3/1/07,2/14/13,400,2577,7.8386,9.2788,24
1405311177,1/26/06,18,2369807,acbk,167,9/16/06,7/1/14,233,3078,5.4256,5.8699,25
1932535063,1/27/06,19,2412079,acbk,2,4/4/07,12/23/13,432,2887,0.0693,0.0815,26
1401907105,1/30/06,20,2341826,acbk,108,4/12/06,4/5/14,72,2987,3.6157,3.705,29
142405531,2/2/06,21,2341468,jcbk,132,3/19/06,12/31/12,45,2524,5.2298,5.3247,32
778801330,2/4/06,22,2547644,acbk,153,12/12/08,12/26/12,1042,2517,6.0787,10.3729,34
1578068258,2/6/06,23,2345902,acbk,18,4/13/06,5/11/11,66,1920,0.9375,0.9709,36
757002919,2/8/06,24,2344587,acbk,52,4/28/06,6/22/11,79,1960,2.6531,2.7645,38
742527867,2/9/06,25,2340401,acbk,40,5/7/06,2/3/14,87,2916,1.3717,1.4139,39
1890951633,2/10/06,26,2352581,acbk,27,5/21/06,9/28/13,100,2787,0.9688,1.0048,40
300113382,2/11/06,27,2350067,acbk,64,5/9/06,9/11/14,87,3134,2.0421,2.1004,41
520229827,2/13/06,28,2321358,acbk,29,2/27/06,11/4/14,14,3186,0.9102,0.9142,43
982588879,2/14/06,29,2656090,acbk,41,5/17/10,10/31/12,1553,2451,1.6728,4.5657,44
1401908969,2/15/06,30,2340554,acbk,521,3/14/06,1/10/15,27,3251,16.0258,16.16,45
1595140263,2/16/06,31,2344157,acbk,40,3/27/06,11/1/09,39,1354,2.9542,3.0418,46
737735511,2/17/06,32,2386815,acbk,30,3/21/07,4/20/14,397,2984,1.0054,1.1596,47
761139869,2/20/06,33,2333336,acbk,626,3/24/06,1/10/15,32,3246,19.2853,19.4773,50
60728299,2/21/06,34,2338574,jcbk,424,3/24/06,11/14/14,31,3188,13.2999,13.4305,51
195301374,2/23/06,35,2350811,acbk,55,5/23/06,1/14/15,89,3247,1.6939,1.7416,53
1591430496,2/24/06,36,2410208,acbk,101,4/30/07,10/21/13,430,2796,3.6123,4.2688,54
9681514432,3/1/06,37,2704768,jcbk,14,4/4/11,10/6/14,1860,3141,0.4457,1.0929,59
1841956880,3/2/06,38,2414726,acbk,78,4/9/07,9/30/14,403,3134,2.4888,2.8561,60
787983268,3/3/06,39,2358632,jcbk,86,7/9/06,8/27/14,128,3099,2.7751,2.8946,61
1550379402,3/4/06,40,2365253,jcbk,48,8/2/06,1/27/14,151,2886,1.6632,1.755,62
393060845,3/6/06,41,2341851,acbk,55,4/22/06,10/19/10,47,1688,3.2583,3.3516,64
521539285,3/9/06,42,2330408,acbk,41,5/25/06,10/16/14,77,3143,1.3045,1.3372,67
760324662,3/10/06,43,2344728,acbk,63,4/11/06,1/26/13,32,2514,2.506,2.5383,68
802118208,3/13/06,44,2355594,acbk,159,6/2/06,1/20/15,81,3235,4.915,5.0412,71
982588828,3/14/06,45,2648184,acbk,40,4/30/10,9/26/12,1508,2388,1.675,4.5455,72
1554076579,3/15/06,46,2672308,acbk,15,10/22/10,9/3/14,1682,3094,0.4848,1.0623,73
